A0,B0,A1,B1,A2,B2,Din,S0,S1,S2,D2
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,1,1,0,0,1,1
0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,1,0,1,0,0,1,1
0,0,0,0,1,1,0,1,0,1,0
0,0,0,0,1,1,1,0,0,1,0
0,0,0,1,0,0,0,1,1,0,1
0,0,0,1,0,0,1,0,1,0,1
0,0,0,1,0,1,0,1,1,1,1
0,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,1,1,1
0,0,0,1,1,0,1,0,1,1,1
0,0,0,1,1,1,0,1,1,1,0
0,0,0,1,1,1,1,0,1,1,0
0,0,1,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,0,1,0,1
0,0,1,0,0,1,0,1,1,1,1
0,0,1,0,0,1,1,0,1,1,1
0,0,1,0,1,0,0,1,1,1,1
0,0,1,0,1,0,1,0,1,1,1
0,0,1,0,1,1,0,1,1,1,0
0,0,1,0,1,1,1,0,1,1,0
0,0,1,1,0,0,0,1,1,1,1
0,0,1,1,0,0,1,0,1,1,1
0,0,1,1,0,1,0,1,1,0,0
0,0,1,1,0,1,1,0,1,0,0
0,0,1,1,1,0,0,1,1,0,0
0,0,1,1,1,0,1,0,1,0,0
0,0,1,1,1,1,0,1,1,1,0
0,0,1,1,1,1,1,0,1,1,0
0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,1,0,0,1
0,1,0,0,0,1,0,0,1,1,1
0,1,0,0,0,1,1,1,0,1,1
0,1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,0,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0
0,1,0,0,1,1,1,1,0,1,0
0,1,0,1,0,0,0,0,0,1,1
0,1,0,1,0,0,1,1,1,0,1
0,1,0,1,0,1,0,0,0,0,0
0,1,0,1,0,1,1,1,1,1,1
0,1,0,1,1,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,1,1
0,1,0,1,1,1,0,0,0,1,0
0,1,0,1,1,1,1,1,1,1,0
0,1,1,0,0,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,0,1
0,1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,1,1,1,1,1,1
0,1,1,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,1
0,1,1,0,1,1,0,0,0,1,0
0,1,1,0,1,1,1,1,1,1,0
0,1,1,1,0,0,0,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1
0,1,1,1,0,1,0,0,1,0,0
0,1,1,1,0,1,1,1,1,0,0
0,1,1,1,1,0,0,0,1,0,0
0,1,1,1,1,0,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1,0
0,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,1,1,0,1,1
1,0,0,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,1,0,1,1
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,1,1,0,1,0
1,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,1,1,1,0,1
1,0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0,0,0
1,0,0,1,1,0,1,1,1,1,1
1,0,0,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1,0,1
1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,0,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0,0,0
1,0,1,0,1,0,1,1,1,1,1
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,1,1,1,1,1,1,0
1,0,1,1,0,0,0,0,1,1,1
1,0,1,1,0,0,1,1,1,1,1
1,0,1,1,0,1,0,0,1,0,0
1,0,1,1,0,1,1,1,1,0,0
1,0,1,1,1,0,0,0,1,0,0
1,0,1,1,1,0,1,1,1,0,0
1,0,1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,1,1,1,0
1,1,0,0,0,0,0,1,1,0,1
1,1,0,0,0,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,0
1,1,0,0,1,1,1,1,1,1,0
1,1,0,1,0,0,0,1,0,1,1
1,1,0,1,0,0,1,1,0,1,1
1,1,0,1,0,1,0,1,0,0,0
1,1,0,1,0,1,1,1,0,0,0
1,1,0,1,1,0,0,1,0,0,0
1,1,0,1,1,0,1,1,0,0,0
1,1,0,1,1,1,0,1,0,1,0
1,1,0,1,1,1,1,1,0,1,0
1,1,1,0,0,0,0,1,0,1,1
1,1,1,0,0,0,1,1,0,1,1
1,1,1,0,0,1,0,1,0,0,0
1,1,1,0,0,1,1,1,0,0,0
1,1,1,0,1,0,0,1,0,0,0
1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,1,1,0,1,0,1,0
1,1,1,0,1,1,1,1,0,1,0
1,1,1,1,0,0,0,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1
1,1,1,1,0,1,0,1,1,0,0
1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
